timestamp,Temperature,Relative Humidity ,Wind Speed,Wind Direction,Basel Cloud Cover Total,Shortwave Radiation,Soil Temperature
20090101T0000,2.1105285,86,18.014393,272.29062,100,0,2.869995
20090101T0100,1.2805287,88,17.673029,266.49646,8,0,2.330017
20090101T0200,1.5305287,87,18.998314,260.1807,100,0,2.0599976
20090101T0300,0.54052866,90,17.518356,260.5377,3,0,1.5599976
20090101T0400,-0.44947132,89,19.70815,260.5377,4,0,0.9299927
20090101T0500,2.5905285,96,2.6208394,344.0546,100,0,1.3600159
20090101T0600,2.5505285,96,2.6208394,344.0546,100,0,1.3300171
20090101T0700,2.4705286,96,2.2768397,341.56506,100,0,1.3099976
20090101T0800,2.4105287,96,2.2768397,341.56506,100,0,1.2900085
20090101T0900,2.6205285,94,2.1897945,350.5377,100,12.46,1.2799988
20090101T1000,3.1405284,91,1.8,360,100,80.99,1.3900146
20090101T1100,3.6905286,89,1.8,360,100,137.95,1.5899963
20090101T1200,4.3005285,87,1.8,360,100,175.33,1.8800049
20090101T1300,6.2305284,66,0.35999998,180,100,270.56,2.5299988
20090101T1400,6.3405285,66,0.5091169,44.999985,100,291.03,3.5599976
20090101T1500,5.0005283,73,1.609969,26.565033,0,251.87,3.9200134
20090101T1600,3.8505285,78,3.7064266,29.05458,0,151.3,3.7000122
20090101T1700,2.7105286,84,5.00128,30.256424,0,33.82,3.3600159
20090101T1800,2.1105285,89,5.692099,34.69516,0,0,3.3600159
20090101T1900,1.6205287,92,5.904439,37.568573,0,0,3.3600159
20090101T2000,1.2505287,95,5.6233797,39.805573,0,0,3.3600159
20090101T2100,0.98052865,98,5.1165614,39.2894,0,0,3.3600159
20090101T2200,0.7705287,99,4.8965297,36.027374,12,0,3.3600159
20090101T2300,0.68052864,100,4.6938257,32.47119,22,0,3.3600159
20090102T0000,0.79052866,97,4.510787,28.610443,27,0,2.4200134
20090102T0100,0.8905287,96,4.2136917,19.983109,100,0,1.8300171
20090102T0200,1.1705287,95,4.1046314,15.255127,100,0,1.4599915
20090102T0300,0.98052865,95,4.1046314,15.255127,100,0,1.1700134
20090102T0400,0.90052867,95,3.8773184,21.801407,100,0,0.9200134
20090102T0500,-0.44947132,90,3.8939953,326.30994,100,0,1
20090102T0600,-0.68947136,92,4.32,360,100,0,0.99002075
20090102T0700,-1.0594714,93,7.2359104,5.7105865,100,0,0.9500122
20090102T0800,-1.4094714,93,10.086427,357.9546,100,0,0.89001465
20090102T0900,-1.8894713,91,9.885262,349.50854,100,13.349999,0.83999634
20090102T1000,-1.6194713,86,8.427383,340.0169,100,99.68,1.2700195
20090102T1100,-0.9294713,80,9.227524,339.44397,100,197.58,2.1799927
20090102T1200,-0.10947134,74,9.793058,342.89728,100,275.9,3.2900085
20090102T1300,0.74052864,68,9.178235,348.69006,66,331.08,4.230011
20090102T1400,1.3305286,66,8.049845,349.69516,60,318.62,4.8000183
20090102T1500,1.8105286,65,5.8048253,352.875,72,259.88,4.970001
20090102T1600,2.0105286,66,5.815978,21.801407,100,153.08,4.730011
20090102T1700,1.9005287,68,9.904906,19.093475,100,35.6,3.869995
20090102T1800,2.4105287,66,11.726277,72.1213,100,0,3.4100037
20090102T1900,0.92052865,65,17.76081,72.29957,3,0,2.7600098
20090102T2000,-0.93947136,71,16.299694,83.65981,0,0,1.7000122
20090102T2100,-1.1494713,62,17.771753,83.018936,0,0,0.8800049
20090102T2200,-1.2494713,68,22.007162,86.24826,0,0,0.26000977
20090102T2300,-1.5494714,69,31.06239,85.34664,0,0,-0.22000122
20090103T0000,-1.7994714,70,31.328272,88.68309,0,0,-0.6199951
20090103T0100,-1.9894713,69,30.248568,88.63607,0,0,-0.95999146
20090103T0200,-2.1694715,68,25.6233,85.97173,0,0,-1.269989
20090103T0300,-2.4994714,67,18.947083,75.69972,0,0,-1.5599976
20090103T0400,-2.8994715,65,13.854155,65.43283,0,0,-1.8599854
20090103T0500,-3.6594715,65,9.504273,65.37643,0,0,-2.4299927
20090103T0600,-3.7294714,67,8.225035,66.8014,0,0,-2.6900024
20090103T0700,-3.9194715,67,7.42159,50.906143,0,0,-2.9400024
20090103T0800,-4.3094716,69,5.8048253,29.744873,0,0,-3.1999817
20090103T0900,-4.6594715,76,4.072935,44.999985,0,22.25,-3.3099976
20090103T1000,-2.9494715,67,7.289444,69.77513,0,142.4,-2.5599976
20090103T1100,-0.65947133,48,11.090103,76.86598,0,250.98,-1.0899963
20090103T1200,0.8305287,42,11.503113,69.86369,0,323.96,0.5800171
20090103T1300,1.8405286,41,8.669949,48.366455,0,350.66,2.080017
20090103T1400,2.1805286,45,6.489992,3.1798248,0,330.19,3.1600037
20090103T1500,1.6105287,54,5.991594,327.26477,0,264.33,3.5299988
20090103T1600,0.7105287,63,8.669949,318.36646,0,159.31,3.0899963
20090103T1700,0.020528657,66,9.085988,326.30994,0,37.38,2
